date,sentiment_score
2020-06-10,0.48845000000000005
2020-06-11,0.4404
2020-06-12,0.5106
2020-06-13,-0.2023
2020-06-14,0.3182
2020-06-15,0.125
2020-06-16,0.4404
2020-06-17,0.5994
2020-06-18,0.101
2020-06-19,0.34
2020-06-20,0.0
2020-06-22,0.733
2020-06-23,0.44394999999999996
2020-06-24,0.4588
2020-06-25,0.148
2020-06-26,0.4215
2020-06-28,0.0
2020-06-29,0.1026
2020-06-30,0.5420499999999999
2020-07-01,0.0
2020-07-02,0.4491
2020-07-04,0.0
2020-07-05,0.4404
2020-07-06,0.4404
2020-07-07,0.0258
2020-07-08,0.05135
2020-07-09,0.4767
2020-07-10,0.4939
2020-07-12,0.5574
2020-07-13,0.4019
2020-07-14,0.4404
2020-07-15,0.2787
2020-07-17,0.24695
2020-07-19,0.2732
2020-07-20,0.0
2020-07-21,0.4019
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,-0.1779
2020-07-26,0.2263
2020-07-27,0.0
2020-07-28,0.63335
2020-07-29,0.0
2020-07-30,0.1591
2020-07-31,0.0701
2020-08-01,0.0
2020-08-02,0.4215
2020-08-03,0.64425
2020-08-04,0.2732
2020-08-05,0.2294
2020-08-06,0.3818
2020-08-07,-0.1591
2020-08-10,0.0
2020-08-11,0.20095
2020-08-12,0.1366
2020-08-13,0.34895
2020-08-14,0.5609
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.39135
2020-08-18,0.0
2020-08-19,0.296
2020-08-20,0.10115
2020-08-21,0.0
2020-08-22,0.3818
2020-08-23,0.0
2020-08-24,0.3389
2020-08-25,0.20095
2020-08-26,0.5095000000000001
2020-08-27,0.6597
2020-08-28,0.0485
2020-08-29,0.7845
2020-08-30,0.41915
2020-08-31,0.2202
2020-09-01,0.1591
2020-09-02,0.0
2020-09-03,0.08895
2020-09-04,0.2899
2020-09-08,0.1908
2020-09-09,0.3612
2020-09-10,0.0
2020-09-11,0.4023
2020-09-12,0.2732
2020-09-13,0.3612
2020-09-14,0.0
2020-09-15,0.11315
2020-09-16,0.5264
2020-09-17,0.128
2020-09-18,0.43445
2020-09-29,0.4767
2020-10-05,0.0
2020-10-06,0.3612
2020-10-07,0.1366
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.2294
2020-10-11,0.0
2020-10-12,0.3803
2020-10-13,0.5267
2020-10-14,0.4019
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-19,0.2023
2020-10-20,0.35015
2020-10-21,0.29969999999999997
2020-10-22,0.08895
2020-10-23,0.25
2020-10-25,0.0
2020-10-26,0.6834
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.3182
2020-10-30,0.0
2020-11-02,0.34
2020-11-03,0.14215000000000003
2020-11-04,0.0
2020-11-05,0.3902
2020-11-06,0.0772
2020-11-09,0.0
2020-11-10,-0.24585
2020-11-11,-0.0516
2020-11-13,0.18725
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0258
2020-11-18,0.0
2020-11-19,0.26115
2020-11-20,0.3182
2020-11-21,-0.0516
2020-11-22,0.0
2020-11-23,0.5836
2020-11-25,0.0624
2020-11-27,0.9042
2020-11-28,0.7506
2020-11-29,0.6249
2020-11-30,0.4588
2020-12-01,0.3412
2020-12-02,0.4404
2020-12-03,0.0
2020-12-04,0.24695
2020-12-06,0.6486
2020-12-07,0.0516
2020-12-08,0.48945
2020-12-09,0.35229999999999995
2020-12-10,-0.11535000000000001
2020-12-11,0.44794999999999996
2020-12-13,0.7269
2020-12-14,0.3803
2020-12-15,0.4432
2020-12-16,-0.1531
2020-12-17,0.4158
2020-12-18,0.0
2020-12-19,0.2235
2020-12-20,0.2732
2020-12-21,0.5106
2020-12-22,0.3818
2020-12-23,0.28315
2020-12-24,0.0
2020-12-26,0.4404
2020-12-28,0.4312
2020-12-29,0.0
2020-12-30,0.5931500000000001
2020-12-31,0.46655
2021-01-01,0.0
2021-01-04,0.3825
2021-01-05,0.3818
2021-01-06,0.3359
2021-01-07,0.0772
2021-01-08,0.0
2021-01-09,0.0
2021-01-11,0.2023
2021-01-12,0.10115
2021-01-13,0.13695
2021-01-14,0.0
2021-01-15,0.7783
2021-01-16,-0.125
2021-01-17,0.2023
2021-01-18,0.4404
2021-01-19,0.11534999999999998
2021-01-20,0.6908
2021-01-21,0.5267
2021-01-22,0.4404
2021-01-23,0.58345
2021-01-25,0.064
2021-01-26,0.5594
2021-01-28,0.0
2021-01-29,0.4417
2021-01-30,0.8638
2021-02-01,0.4453
2021-02-02,0.46715
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.3182
2021-02-07,0.6085499999999999
2021-02-09,0.23835
2021-02-10,0.3182
2021-02-11,0.1779
2021-02-12,0.5682
2021-02-13,0.0
2021-02-14,0.5267
2021-02-16,-0.0129
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.5106
2021-02-21,0.4404
2021-02-22,0.0
2021-02-23,0.23835
2021-02-24,0.0
2021-02-25,0.1779
2021-02-26,-0.1591
2021-02-28,0.5423
2021-03-01,0.2202
2021-03-02,0.3673
2021-03-03,0.0
2021-03-04,0.4767
2021-03-05,0.5563
2021-03-06,0.0
2021-03-08,-0.8481
2021-03-09,0.50615
2021-03-10,0.3397
2021-03-11,0.4019
2021-03-12,0.23465
2021-03-13,0.0
2021-03-14,0.35645000000000004
2021-03-15,0.7003
2021-03-16,-0.2073
2021-03-17,-0.04425
2021-03-18,0.8591
2021-03-22,0.1779
2021-03-23,0.4019
2021-03-24,-0.25
2021-03-25,0.2263
2021-03-26,-0.5106
2021-03-27,0.6597
2021-03-28,0.5994
2021-03-29,0.17
2021-03-31,0.148
2021-04-01,0.3871
2021-04-02,0.6908
2021-04-05,0.25
2021-04-06,0.48245000000000005
2021-04-07,0.3818
2021-04-09,0.296
2021-04-10,0.7096
2021-04-11,0.0
2021-04-12,0.064
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.4019
2021-04-16,0.46605
2021-04-17,0.21075
2021-04-18,0.10115
2021-04-19,0.34
2021-04-20,0.4404
2021-04-21,0.2202
2021-04-22,0.7644500000000001
2021-04-23,0.7964
2021-04-24,0.0
2021-04-25,0.3612
2021-04-26,0.4939
2021-04-27,0.6597
2021-04-28,0.4215
2021-04-29,0.5971500000000001
2021-04-30,0.0
2021-05-01,0.6597
2021-05-03,-0.2294
2021-05-04,0.6145
2021-05-05,0.0129
